page,tier,code,label,ps,mooe,co,total
20,2,,Zamboanga City 2nd District Engineering Office,,35406000,2090000,37496000
20,2,,Zamboanga del Norte 1st District Engineering Office,,45653000,2090000,47743000
20,2,,Zamboanga del Norte 2nd District Engineering Office,,36588000,2090000,38678000
20,2,,Zamboanga del Norte 3rd District Engineering Office,,33446000,2090000,35536000
20,2,,Zamboanga del Norte 4th District Engineering Office,,34226000,2090000,36316000
20,2,,Zamboanga del Sur 1st District Engineering Office,,46405000,2090000,48495000
20,2,,Zamboanga del Sur 2nd District Engineering Office,,46610000,2090000,48700000
20,2,,Zamboanga Sibugay 1st District Engineering Office,,42953000,2090000,45043000
20,2,,Zamboanga Sibugay 2nd District Engineering Office,,35157000,2090000,37247000
20,1,,Region X - Northern Mindanao,,646070000,52710000,698780000
20,2,,Regional Office X - Proper,,91371000,24516000,115887000
20,2,,Bukidnon 1st District Engineering Office,,45270000,2028000,47298000
20,2,,Bukidnon 2nd District Engineering Office,,46820000,2028000,48848000
20,2,,Bukidnon 3rd District Engineering Office,,45482000,2028000,47510000
21,2,,Bukidnon 4th District Engineering Office,,36011000,1830000,37841000
21,2,,Cagayan de Oro City 1st District Engineering Office,,28295000,2028000,30323000
21,2,,Cagayan de Oro City 2nd District Engineering Office,,27998000,2028000,30026000
21,2,,Camiguin District Engineering Office,,28887000,2028000,30915000
21,2,,Iligan City District Engineering Office,,36601000,2028000,38629000
21,2,,Lanao del Norte 1st District Engineering Office,,47626000,2028000,49654000
21,2,,Lanao del Norte 2nd District Engineering Office,,42899000,2028000,44927000
21,2,,Misamis Occidental 2nd District Engineering Office,,35909000,2028000,37937000
21,2,,Misamis Occidental District Engineering Office,,37881000,2028000,39909000
21,2,,Misamis Oriental 1st District Engineering Office,,47606000,2028000,49634000
21,2,,Misamis Oriental 2nd District Engineering Office,,47414000,2028000,49442000
21,1,,Region XI - Davao,,608091000,47157000,655248000
21,2,,Regional Office XI - Proper,,127314000,24509000,151823000
21,2,,Davao City 2nd District Engineering Office,,44007000,2096000,46103000
21,2,,Davao City 3rd District Engineering Office,,36815000,1892000,38707000
21,2,,Davao City District Engineering Office,,41557000,2096000,43653000
21,2,,Davao de Oro 1st District Engineering Office,,44759000,2096000,46855000
21,2,,Davao de Oro 2nd District Engineering Office,,47565000,2096000,49661000
21,2,,Davao del Norte 2nd District Engineering Office,,37233000,1892000,39125000
21,2,,Davao del Norte District Engineering Office,,47819000,2096000,49915000
21,2,,Davao del Sur District Engineering Office,,44779000,2096000,46875000
22,2,,Davao Occidental District Engineering Office,,43636000,2096000,45732000
22,2,,Davao Oriental 1st District Engineering Office,,45549000,2096000,47645000
22,2,,Davao Oriental 2nd District Engineering Office,,47058000,2096000,49154000
22,1,,Region XII - SOCCSKSARGEN,,468856000,40953000,509809000
22,2,,Regional Office XII - Proper,,97616000,24465000,122081000
22,2,,Cotabato 1st District Engineering Office,,46250000,2061000,48311000
22,2,,Cotabato 2nd District Engineering Office,,48511000,2061000,50572000
22,2,,Cotabato 3rd District Engineering Office,,49194000,2061000,51255000
22,2,,Sarangani District Engineering Office,,46997000,2061000,49058000
22,2,,South Cotabato 1st District Engineering Office,,48267000,2061000,50328000
22,2,,South Cotabato 2nd District Engineering Office,,46861000,2061000,48922000
22,2,,Sultan Kudarat 1st District Engineering Office,,36918000,2061000,38979000
22,2,,Sultan Kudarat 2nd District Engineering Office,,48242000,2061000,50303000
22,1,,Region XIII - CARAGA,,462020000,43135000,505155000
22,2,,Regional Office XIII - Proper,,101947000,24523000,126470000
22,2,,Agusan del Norte District Engineering Office,,37291000,2068000,39359000
22,2,,Agusan del Sur 1st District Engineering Office,,46151000,2068000,48219000
22,2,,Agusan del Sur 2nd District Engineering Office,,48220000,2068000,50288000
22,2,,Butuan City District Engineering Office,,36070000,2068000,38138000
22,2,,Dinagat Islands District Engineering Office,,35284000,2068000,37352000
22,2,,Surigao del Norte 1st District Engineering Office,,36471000,2068000,38539000
22,2,,Surigao del Norte 2nd District Engineering Office,,38828000,2068000,40896000
23,2,,Surigao del Sur 1st District Engineering Office,45918000,2068000,,47986000
23,2,,Surigao del Sur 2nd District Engineering Office,35840000,2068000,,37908000
23,1,100000100002000,Administration of Personnel Benefits,581691000,,,581691000
23,1,,National Capital Region (NCR),581691000,,,581691000
23,2,,Central Office,581691000,,,581691000
23,,,"Sub-total, General Administration and Support",13794990000,1505758000,2777545000,18078293000
23,1,200000000000000,Support to Operations,1127307000,23179988000,27302353000,51609648000
23,1,200000100001000,Design of Public Works and Highways Projects,85254000,13504000,,98758000
23,1,,National Capital Region (NCR),85254000,13504000,,98758000
23,2,,Central Office,85254000,13504000,,98758000
23,1,200000100002000,"Preparation of Manuals for Construction, Rehabilitation and Improvement of Infrastructure Facilities",114932000,10737000,,125669000
23,1,,National Capital Region (NCR),114932000,10737000,,125669000
23,2,,Central Office,114932000,10737000,,125669000
23,1,200000100003000,Management of Construction and Maintenance Equipment and Ancillary Facilities,58606000,154539000,,213145000
23,1,,National Capital Region (NCR),58606000,154539000,,213145000
23,2,,Central Office,58606000,154539000,,213145000
23,1,200000100004000,"Infrastructure Research, Quality Control and Management, Ancillary Facilities",121993000,57829000,,179822000
23,1,,National Capital Region (NCR),121993000,57829000,,179822000
23,2,,Central Office,121993000,57829000,,179822000
23,1,200000100005000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities Bureau Proper",66307000,26595000,,92902000
23,1,,National Capital Region (NCR),66307000,26595000,,92902000
23,2,,Central Office,66307000,26595000,,92902000
23,1,200000100006000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities Operation of Weighbridge Stations and ATOME",,296075000,,296075000
23,1,,National Capital Region (NCR),,296075000,,296075000
23,2,,Central Office,,296075000,,296075000
24,1,200000100017000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities Routine Maintenance of National Roads",,,11610491000,11610491000
24,1,,National Capital Region (NCR),,,11610491000,11610491000
24,2,,Central Office,,,11610491000,11610491000
24,1,200000100018000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities Routine Maintenance of National Bridges",,,1603842000,1603842000
24,1,,National Capital Region (NCR),,,1603842000,1603842000
24,2,,Central Office,,,1603842000,1603842000
24,1,200000100019000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities Public Buildings",,,1679027000,1679027000
24,1,,National Capital Region (NCR),,,1679027000,1679027000
24,2,,Central Office,,,1679027000,1679027000
24,1,200000100020000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities Flood Control and Drainage Systems, Structures and Related Facilities",,,3917888000,3917888000
24,1,,National Capital Region (NCR),,,3917888000,3917888000
24,2,,Central Office,,,3917888000,3917888000
24,1,200000100023000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities Maintenance, Services for Automated Traffic Data Collection Program",,,246770000,246770000
24,1,,National Capital Region (NCR),,,246770000,246770000
24,2,,Central Office,,,246770000,246770000
24,1,200000100024000,"Regional Support (Planning and Design, Construction, Maintenance and Material Quality Control and Hydrology Division)",,493027000,7313000,500340000
24,1,,National Capital Region (NCR),,39247000,458000,39705000
24,2,,NCR Regional Office - Proper,,39247000,458000,39705000
24,1,,Region I - Ilocos,,12064000,457000,12521000
24,2,,Regional Office I - Proper,,12064000,457000,12521000
24,1,,Cordillera Administrative Region (CAR),,51877000,457000,52334000
24,2,,Regional Office CAR - Proper,,51877000,457000,52334000
24,1,,Region II - Cagayan Valley,,40293000,457000,40750000
24,2,,Regional Office II - Proper,,40293000,457000,40750000
25,1,,Region III - Central Luzon,,,457000,457000
25,2,,Regional Office III - Proper,,,457000,457000
25,1,,Region IVA - CALABARZON,,35602000,457000,36059000
