page,tier,label,amounts
121,5,Region I,157302000
121,6,Ilocos Norte 1st District Engineering Office,37865000
121,6,Ilocos Norte 2nd District Engineering Office,16948000
121,6,Ilocos Sur 1st District Engineering Office,7374000
121,6,Ilocos Sur 2nd District Engineering Office,18614000
121,6,La Union 1st District Engineering Office,6689000
121,6,La Union 2nd District Engineering Office,8372000
122,6,Pangasinan 1st District Engineering Office,4988000
122,6,Pangasinan 2nd District Engineering Office,23393000
122,6,Pangasinan 3rd District Engineering Office,26789000
122,6,Pangasinan 4th District Engineering Office,6270000
122,5,Cordillera Administrative Region,78659000
122,6,Abra District Engineering Office,23048000
122,6,Apayao 1st District Engineering Office,3399000
122,6,Apayao 2nd District Engineering Office,8961000
122,6,Benguet 1st District Engineering Office,11170000
122,6,Benguet 2nd District Engineering Office,4874000
122,6,Baguio City District Engineering Office,3323000
122,6,Ifugao 1st District Engineering Office,2587000
122,6,Ifugao 2nd District Engineering Office,3150000
122,6,Lower Kalinga District Engineering Office,8992000
122,6,Upper Kalinga District Engineering Office,2342000
122,6,Mt. Province District Engineering Office,4545000
122,6,Mountain Province 2nd District Engineering Office,2268000
122,5,Region II,118902000
122,6,Batanes District Engineering Office,780000
122,6,Cagayan 1st District Engineering Office,21752000
122,6,Cagayan 2nd District Engineering Office,17196000
122,6,Cagayan 3rd District Engineering Office,14579000
122,6,Isabela 1st District Engineering Office,15566000
122,6,Isabela 2nd District Engineering Office,5386000
122,6,Isabela 3rd District Engineering Office,12006000
122,6,Isabela 4th District Engineering Office,7535000
122,6,Nueva Vizcaya 1st District Engineering Office,7496000
122,6,Nueva Vizcaya 2nd District Engineering Office,5702000
122,6,Quirino District Engineering Office,10904000
122,5,Region III,144656000
122,6,Aurora District Engineering Office,25319000
122,6,Bataan 1st District Engineering Office,2764000
122,6,Bataan 2nd District Engineering Office,2792000
122,6,Bataan 3rd District Engineering Office,5688000
122,6,Bulacan 1st District Engineering Office,14919000
122,6,Bulacan 2nd District Engineering Office,3354000
123,6,Bulacan 3rd District Engineering Office,3254000
123,6,Nueva Ecija 1st District Engineering Office,9785000
123,6,Nueva Ecija 2nd District Engineering Office,14777000
123,6,Pampanga 1st District Engineering Office,14356000
123,6,Pampanga 2nd District Engineering Office,7188000
123,6,Pampanga 3rd District Engineering Office,6662000
123,6,Tarlac District Engineering Office,16653000
123,6,Tarlac 2nd District Engineering Office,3664000
123,6,Zambales 1st District Engineering Office,11770000
123,6,Zambales 2nd District Engineering Office,1711000
123,5,Region IV-A,75232000
123,6,Batangas 1st District Engineering Office,5728000
123,6,Batangas 2nd District Engineering Office,7053000
123,6,Batangas 3rd District Engineering Office,5152000
123,6,Batangas 4th District Engineering Office,2609000
123,6,Cavite 1st District Engineering Office,6294000
123,6,Cavite 2nd District Engineering Office,2905000
123,6,Cavite 3rd District Engineering Office,3884000
123,6,Laguna 1st District Engineering Office,3817000
123,6,Laguna 2nd District Engineering Office,4234000
123,6,Laguna 3rd District Engineering Office,2092000
123,6,Quezon 1st District Engineering Office,7124000
123,6,Quezon 2nd District Engineering Office,7152000
123,6,Quezon 3rd District Engineering Office,7835000
123,6,Quezon 4th District Engineering Office,5520000
123,6,Rizal 1st District Engineering Office,1268000
123,6,Rizal 2nd District Engineering Office,2565000
123,5,MIMAROPA Region,81951000
123,6,Marinduque District Engineering Office,6602000
123,6,Mindoro Occidental District Engineering Office,21356000
123,6,Mindoro Oriental District Engineering Office,4694000
123,6,Palawan 1st District Engineering Office,7265000
123,6,Palawan 2nd District Engineering Office,16241000
123,6,Palawan 3rd District Engineering Office,11275000
123,6,Romblon District Engineering Office,9803000
123,6,Southern Mindoro District Engineering Office,4715000
123,5,Region V,92920000
124,6,Albay 1st District Engineering Office,6853000
124,6,Albay 2nd District Engineering Office,3163000
124,6,Albay 3rd District Engineering Office,8733000
124,6,Camarines Norte District Engineering Office,9989000
124,6,Camarines Norte Sub-District Engineering Office,6715000
124,6,Camarines Sur 1st District Engineering Office,3883000
124,6,Camarines Sur 2nd District Engineering Office,3871000
124,6,Camarines Sur 3rd District Engineering Office,3393000
124,6,Camarines Sur 4th District Engineering Office,10870000
124,6,Camarines Sur 5th District Engineering Office,1947000
124,6,Catanduanes District Engineering Office,13466000
124,6,Masbate 1st District Engineering Office,1909000
124,6,Masbate 2nd District Engineering Office,5216000
124,6,Masbate 3rd District Engineering Office,2520000
124,6,Sorsogon District Engineering Office,5159000
124,6,Sorsogon 2nd District Engineering Office,5233000
124,5,Region VI,104638000
124,6,Aklan District Engineering Office,8506000
124,6,Antique District Engineering Office,33506000
124,6,Capiz 1st District Engineering Office,3814000
124,6,Capiz 2nd District Engineering Office,8641000
124,6,Guimaras District Engineering Office,3196000
124,6,Iloilo 1st District Engineering Office,17868000
124,6,Iloilo 2nd District Engineering Office,5392000
124,6,Iloilo 3rd District Engineering Office,3264000
124,6,Iloilo 4th District Engineering Office,6552000
124,6,Iloilo City District Engineering Office,8895000
124,6,Iloilo 6th District Engineering Office,5004000
124,5,Negros Island Region,64029000
124,6,Bacolod City District Engineering Office,5290000
124,6,Negros Occidental 1st District Engineering Office,8427000
124,6,Negros Occidental 2nd District Engineering Office,8807000
124,6,Negros Occidental 3rd District Engineering Office,11219000
124,6,Negros Occidental 4th District Engineering Office,4926000
124,6,Negros Occidental 5th District Engineering Office,7506000
124,6,Negros Oriental 1st District Engineering Office,4959000
125,6,Negros Oriental 2nd District Engineering Office,3557000
125,6,Negros Oriental 3rd District Engineering Office,8644000
125,6,Siquijor District Engineering Office,694000
125,5,Region VII,71501000
125,6,Bohol 1st District Engineering Office,5512000
125,6,Bohol 2nd District Engineering Office,6318000
125,6,Bohol 3rd District Engineering Office,8613000
125,6,Cebu 1st District Engineering Office,7373000
125,6,Cebu 2nd District Engineering Office,2896000
125,6,Cebu 3rd District Engineering Office,8090000
125,6,Cebu 4th District Engineering Office,3607000
125,6,Cebu 5th District Engineering Office,1621000
125,6,Cebu 6th District Engineering Office,17642000
125,6,Cebu 7th District Engineering Office,2302000
125,6,Cebu City District Engineering Office,7527000
125,5,Region VIII,154256000
125,6,Biliran District Engineering Office,7892000
125,6,Leyte 1st District Engineering Office,6063000
125,6,Leyte 2nd District Engineering Office,7671000
125,6,Leyte 3rd District Engineering Office,10023000
125,6,Leyte 4th District Engineering Office,6411000
125,6,Leyte 5th District Engineering Office,16471000
125,6,Southern Leyte 1st District Engineering Office,3659000
125,6,Southern Leyte 2nd District Engineering Office,20458000
125,6,Eastern Samar District Engineering Office,14839000
125,6,Northern Samar 1st District Engineering Office,14335000
125,6,Northern Samar 2nd District Engineering Office,5023000
125,6,Samar 1st District Engineering Office,13169000
125,6,Samar 2nd District Engineering Office,9199000
125,6,Tacloban City District Engineering Office,786000
125,6,Regional Office VIII (San Juanico Bridge),18257000
125,5,Region IX,61588000
125,6,Isabela City District Engineering Office,525000
125,6,Sulu 1st District Engineering Office,460000
125,6,Sulu 2nd District Engineering Office,32000
125,6,Zamboanga del Norte 1st District Engineering Office,6577000
125,6,Zamboanga del Norte 2nd District Engineering Office,13375000
126,6,Zamboanga del Norte 3rd District Engineering Office,7363000
126,6,Zamboanga del Norte 4th District Engineering Office,4664000
126,6,Zamboanga del Sur 1st District Engineering Office,5664000
126,6,Zamboanga del Sur 2nd District Engineering Office,6836000
126,6,Zamboanga Sibugay 1st District Engineering Office,2733000
126,6,Zamboanga Sibugay 2nd District Engineering Office,5266000
126,6,Zamboanga City 1st District Engineering Office,4681000
126,6,Zamboanga City 2nd District Engineering Office,3412000
126,5,Region X,77733000
